inserttime,period,max,min,mean,vol,fd,returnVal
2022-12-18 23:41:49,1,7.78265,7.78215,7.782344180555551,6.424799371503999e-05,,0.0
2022-12-18 23:47:42,2,7.782495,7.781635,7.7818925000000165,0.00011051296326700776,11826666.85755397,-5.803913898631106e-05
2022-12-18 23:53:19,3,7.78205,7.78165,7.781830250000009,5.140178944406497e-05,67526831.99438252,-7.999339493207691e-06
2022-12-18 23:59:17,4,7.783785,7.781725,7.782282430555561,0.000264703834431914,15942345.561622193,5.810722426796209e-05
2022-12-19 00:05:21,5,7.78495,7.78355,7.784384236111109,0.00017984723743540393,0.0,0.0002700757231959318
2022-12-19 00:11:18,6,7.784924999999999,7.784255,7.784569194444439,8.606770436026938e-05,29895069.4586871,2.376017520717712e-05
2022-12-19 00:17:11,7,7.78465,7.783385,7.784002805555563,0.00016251278829154862,12805146.117280798,-7.275789767275061e-05
2022-12-19 00:22:59,8,7.78415,7.783765000000001,7.783909347222218,4.9461007679518716e-05,48320891.791892745,-1.2006461929647926e-05
2022-12-19 00:28:54,9,7.784050000000001,7.78294,7.783680027777795,0.00014260606757206468,36674456.347077005,-2.9460703380979626e-05
2022-12-19 00:34:54,10,7.78345,7.78275,7.783208458333323,8.993720311456764e-05,4225170.3059515,-6.058438203887391e-05
2022-12-19 00:40:54,11,7.78335,7.7827,7.783180097222217,8.351342149107454e-05,56793266.46324634,-3.643884300226602e-06
2022-12-19 00:46:53,12,7.78335,7.782909999999999,7.783160722222236,5.6532302968488364e-05,111210753.31929132,-2.4893423688483797e-06
2022-12-19 00:52:30,13,7.78345,7.78292,7.783191541666665,6.809545893391584e-05,98523456.7037846,3.959759476701354e-06
2022-12-19 00:58:49,14,7.78345,7.78294,7.78317959722221,6.552591953322647e-05,96114637.4574179,-1.5346460884206929e-06
2022-12-19 01:05:04,15,7.78345,7.78274,7.783105430555571,9.122322784070078e-05,69916403.43112643,-9.529096137747583e-06
2022-12-19 01:11:01,16,7.783265,7.78247,7.782998458333318,0.00010214572240456869,47030848.54569623,-1.3744156905890434e-05
2022-12-19 01:17:00,17,7.783405,7.782365,7.782971805555549,0.0001336250504283399,46376034.883693546,-3.424487093437923e-06
2022-12-19 01:23:00,18,7.785114999999999,7.782814999999999,7.78364331944445,0.0002954914434804971,6067857.59641917,8.627988198820432e-05
2022-12-19 01:28:59,19,7.784825,7.78415,7.78452868055557,8.671045193594704e-05,3805769.577164363,0.00011374636205492415
2022-12-19 01:34:51,20,7.784750000000001,7.7826249999999995,7.784119666666671,0.000272991692188519,6234621.963604135,-5.254189504380565e-05
2022-12-19 01:40:52,21,7.78435,7.78235,7.7838672499999735,0.0002569416892354872,5518761.880250589,-3.242713081328775e-05
2022-12-19 01:46:41,22,7.783284999999999,7.78157,7.782717236111114,0.0002203600552312984,172445.04663113167,-0.00014774325562397385
2022-12-19 01:52:34,23,7.783144999999999,7.78195,7.782452847222217,0.00015355056091675507,19166325.296561435,-3.3971282892039543e-05
2022-12-19 01:58:30,24,7.7837499999999995,7.782915,7.783433388888888,0.0001072791348341807,0.0,0.0001259939103930215
2022-12-19 02:04:54,25,7.78365,7.782775,7.7833614861111124,0.00011241929358685396,55800030.40273106,-9.237925499304757e-06
2022-12-19 02:10:53,26,7.783849999999999,7.78181,7.783021013888888,0.00026210901863925985,19442291.70921286,-4.374359623820524e-05
2022-12-19 02:16:41,27,7.78285,7.7816,7.782237611111108,0.0001606221838067577,4818761.528800957,-0.00010065535945261187
2022-12-19 02:22:34,28,7.783405,7.78251,7.782668666666669,0.00011499911384293818,10591385.962012736,5.53896677409911e-05
2022-12-19 02:28:48,29,7.78365,7.78209,7.783041902777774,0.00020043577042066243,10207758.80326141,4.7957343051759446e-05
